,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,https://www.facebook.com/bbcnews,"Who is Tucker Carlson, the man interviewing Vladimir Putin?",Tucker Carlson is the first Western journalist to interview Putin since the invasion of Ukraine.,https://www.bbc.co.uk/news/world-us-canada-68245076,https://ichef.bbci.co.uk/news/1024/branded_news/13D1B/production/_132597118_gettyimages-1546575693.jpg,2024-02-08T21:04:25Z,American journalist Tucker Carlson is the first Western journalist to interview Russian President Vladimir Putin since his country's invasion of Ukraine in February 2022. The televised sit-down will … [+5618 chars],bbc-news,BBC News
1,https://www.facebook.com/bbcnews,Russia military jet crashes in region near Ukraine,Russian military transport aircraft with dozens onboard crashes in region bordering Ukraine - reports,https://www.bbc.co.uk/news/world-europe-68080529,https://ichef.bbci.co.uk/news/1024/branded_news/83B3/production/_115651733_breaking-large-promo-nc.png,2024-01-24T09:31:49Z,"A Russian Ilyushin-76 military transport plane has crashed in the southern Belgorod region bordering Ukraine.
At least 65 people on board were killed, according to Russian reports quoting the minist… [+650 chars]",bbc-news,BBC News
2,https://www.facebook.com/bbcnews,Tucker Carlson to interview Russia's Putin,The ex-Fox News host will be the first Western journalist to interview Vladimir Putin since Russia invaded Ukraine.,https://www.bbc.co.uk/news/world-europe-68223148,https://ichef.bbci.co.uk/news/1024/branded_news/A205/production/_132577414_4b0d0a8d011b6d014aa4fcd0b957e7e0b79577e90_0_4000_26671000x667.jpg,2024-02-06T19:35:19Z,"Former Fox News host, Tucker Carlson, says he will ""soon"" interview Russian President Vladimir Putin in Moscow.
In a video posted on X, formerly Twitter, Carlson said he wanted to do the interview b… [+2246 chars]",bbc-news,BBC News
3,https://www.facebook.com/bbcnews,Ukraine and Russia complete first prisoner swap since plane crash,"Russia says each side got 195 soldiers back, Ukraine says 207 of its military and civilians were returned.",https://www.bbc.co.uk/news/world-europe-68156442,https://ichef.bbci.co.uk/news/1024/branded_news/C757/production/_132513015_ukraine_pow.jpg,2024-01-31T13:45:06Z,"Russia and Ukraine say they have exchanged captured soldiers - the first such swap since the crash of a Russian plane that Moscow claimed had 65 prisoners of war (PoWs) on board.
Russia's defence mi… [+703 chars]",bbc-news,BBC News
4,https://www.facebook.com/bbcnews,UK demands clarity from Russia over missing war critic,"The UK is ""deeply concerned"" after contact is lost with jailed Ukraine war critic Vladimir Kara-Murza.",https://www.bbc.co.uk/news/world-europe-68137044,https://ichef.bbci.co.uk/news/1024/branded_news/15D2D/production/_132498398_kara.jpg,2024-01-30T00:45:01Z,"Russia must provide clarity over the whereabouts of jailed opposition figure Vladimir Kara-Murza, UK Foreign Secretary David Cameron has demanded.
Concern has grown since the Russian-British nationa… [+2762 chars]",bbc-news,BBC News
5,https://www.facebook.com/bbcnews,US sells $283bn of weapons abroad in record year,"Sales negotiated by the US government spiked 56%, as Russia's invasion of Ukraine stoked demand.",https://www.bbc.co.uk/news/world-us-canada-68136840,https://ichef.bbci.co.uk/news/1024/branded_news/E799/production/_132498295_gettyimages-1253742521.jpg,2024-01-30T01:16:28Z,"US weapons sales overseas rose sharply last year, reaching a record total of $238bn (£187bn), as Russia's invasion of Ukraine stoked demand.
The US government directly negotiated $81bn in sales, a 5… [+2338 chars]",bbc-news,BBC News
6,https://www.facebook.com/bbcnews,Ukraine war: Zaluzhnyi sacking will not instantly solve battlefield woes,The military shake-up comes as Ukraine struggles with shortages of ammunition and manpower.,https://www.bbc.co.uk/news/world-europe-68241349,https://ichef.bbci.co.uk/news/1024/branded_news/C723/production/_132597905_gettyimages-1908156582.jpg,2024-02-08T18:46:09Z,"Speculation that Ukraine's popular military chief, Gen Valerii Zaluzhnyi, was on his way out has been swirling for months. 
That in itself has been damaging. Strains at the top do not bolster morale… [+5502 chars]",bbc-news,BBC News
7,https://www.facebook.com/bbcnews,Senate advances aid package for Ukraine and Israel,The Senate will begin to consider a $95b package that does not include border security measures.,https://www.bbc.co.uk/news/world-us-canada-68246566,https://ichef.bbci.co.uk/news/1024/branded_news/16F1B/production/_132597939_gettyimages-1983625983.jpg,2024-02-08T18:41:50Z,"The Senate has advanced an aid package for Ukraine and Israel a day after Republicans blocked a larger bipartisan border security and foreign aid bill. 
Lawmakers voted 67-32 to consider a $95b (£75… [+2172 chars]",bbc-news,BBC News
8,https://www.facebook.com/bbcnews,Russian pilot who defected to Ukraine 'shot dead',"Maxim Kuzminov - who fled Russia on a military helicopter - was found dead in Spain, according to reports.",https://www.bbc.co.uk/news/world-europe-68337794,https://ichef.bbci.co.uk/news/1024/branded_news/EDE2/production/_132689806_c18534d039995770aee8313c08f851c3e5fabc010_118_3259_18333259x1833-1.jpg,2024-02-20T10:00:36Z,"The body of a man who was shot dead in Spain is believed to be that of a Russian helicopter pilot who defected to Ukraine last year.
In August, Maxim Kuzminov flew a helicopter into Ukrainian territ… [+2377 chars]",bbc-news,BBC News
9,https://www.facebook.com/bbcnews,"Ukraine war: 'Artificial shortage' of weapons helps Putin, says Zelensky",Ukraine's president says Russia's Vladimir Putin will unleash a catastrophe if he is allowed to win the war.,https://www.bbc.co.uk/news/world-europe-68325022,https://ichef.bbci.co.uk/news/1024/branded_news/5241/production/_132675012_b0b440318c5a0348ae3ee07915435790827dca270_286_5561_31281000x563.jpg,2024-02-17T11:48:39Z,"Ukraine's President Volodymyr Zelensky has made an urgent appeal for more weapons to avoid a ""catastrophic"" situation in Europe.
An ""artificial deficit of weapons"" will only help Russia, Mr Zelensky… [+2145 chars]",bbc-news,BBC News
